date,state,tot_cases,new_case,tot_death,conf_death,new_death,total_vaccinations,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-02-01,TX,2392443,31811,36539,,48,2496232.0,1991555.0,1.73,8.61,502794.0,6.87,12.62,98889.0,3410.0,0.682
2021-01-24,CO,386285,1319,5505,4801.0,23,434496.0,355124.0,1.34,7.54,76902.0,6.17,12.03,19033.0,3305.0,0.627
2021-02-25,AR,318122,726,5397,,10,572553.0,384549.0,6.11,18.97,184346.0,12.74,27.38,11688.0,3873.0,0.693
2021-02-23,WV,130139,285,2274,,11,470643.0,293891.0,9.86,26.26,176709.0,16.4,28.62,11000.0,6138.0,0.9179999999999999
2021-01-19,TN,689808,2057,8470,7082.0,40,351813.0,302260.0,0.72,5.15,48867.0,4.43,9.63,14365.0,2103.0,0.535
2021-02-05,KS,281562,2647,4101,,206,263624.0,206997.0,1.88,9.05,54834.0,7.11,16.9,10441.0,3584.0,0.536
2021-02-18,NY,883994,3356,17555,,55,3253874.0,2176004.0,5.11,16.73,993790.0,11.19,20.68,90449.0,4649.0,0.809
2021-01-18,TX,2125552,11590,32084,,46,,,,,,,,71932.0,2481.0,
2021-02-19,FL,1822644,6536,29692,,218,4198451.0,2793123.0,6.42,19.55,1378573.0,13.0,23.15,140344.0,6534.0,0.8440000000000001
2021-01-24,HI,24471,143,339,,6,84792.0,67990.0,1.19,5.99,16802.0,4.8,13.53,4191.0,2960.0,0.44299999999999995
2021-01-22,HI,24201,122,329,,4,84793.0,67991.0,1.19,5.99,16802.0,4.8,13.52,5405.0,3817.0,0.44299999999999995
2021-01-19,UT,326221,1302,1507,1466.0,7,163205.0,144056.0,0.48,5.09,15367.0,4.49,8.36,9711.0,3029.0,0.609
2021-02-11,KS,284894,0,4303,,0,332923.0,248979.0,2.81,11.43,81948.0,8.55,19.36,11643.0,3996.0,0.59
2021-03-06,CO,435762,1108,5986,5251.0,0,1580162.0,1019833.0,9.54,27.44,549267.0,17.71,35.07,36492.0,6337.0,0.782
2021-02-26,HI,26568,39,434,,2,359108.0,236307.0,8.65,25.36,122521.0,16.69,34.89,8248.0,5825.0,0.727
2021-02-27,WV,131580,346,2297,,6,526059.0,320183.0,11.48,29.35,205801.0,17.87,33.77,9710.0,5418.0,0.8690000000000001
2021-01-21,KS,263412,0,3575,,0,130434.0,111907.0,0.6,4.48,17430.0,3.84,10.71,5553.0,1906.0,0.418
2021-01-18,AK,50447,151,228,,0,,,,,,,,4362.0,5963.0,
2021-02-19,KS,290832,2115,4614,,93,466718.0,334112.0,4.41,16.02,128614.0,11.47,21.45,16568.0,5687.0,0.747
2021-01-29,AR,292563,1707,4831,,65,269993.0,221552.0,1.52,8.95,45918.0,7.34,15.03,9760.0,3234.0,0.595
2021-01-28,AK,52150,199,260,,1,105858.0,85672.0,2.74,14.47,20045.0,11.71,24.34,4850.0,6630.0,0.594
2021-02-15,TN,758561,1143,10937,8797.0,4,,,,,,,,24902.0,3646.0,
2021-01-31,AR,295268,881,4868,,30,303793.0,244867.0,1.86,10.07,56264.0,8.11,15.03,12793.0,4239.0,0.67
